locality,species,month,year,socioeconomic_stratum,citizen_reports,abuse_cases,animals_seized,vet_emergencies,microchip_coverage,sterilization_rate,stray_density,prior_cases_6m,institutional_response_days,abandonment_risk
ANTONIO NARIÑO,CANINO,9,2023,3,10,16,3,31,0.4292,0.3174,36.28,10,5,MEDIUM
LA CANDELARIA,CANINO,1,2024,4,4,7,3,17,0.5184,0.4408,22.9,7,8,MEDIUM
BOSA,CANINO,2,2024,4,18,18,5,29,0.1493,0.1032,51.74,5,2,HIGH
USME,CANINO,9,2024,2,5,15,3,19,0.1833,0.1087,45.04,13,10,MEDIUM
ANTONIO NARIÑO,CANINO,10,2022,3,10,14,4,21,0.4193,0.3154,30.84,5,4,MEDIUM
LOS MÁRTIRES,CANINO,5,2023,4,15,13,4,26,0.3896,0.3589,38.67,8,8,MEDIUM
LA CANDELARIA,FELINO,12,2024,3,6,8,0,16,0.5235,0.3852,28.81,6,6,MEDIUM
PUENTE ARANDA,FELINO,11,2024,4,6,13,2,23,0.4028,0.308,42.2,8,1,MEDIUM
USME,CANINO,9,2023,4,10,14,3,27,0.1667,0.1525,44.34,9,5,HIGH
SANTA FE,FELINO,10,2024,4,7,5,2,11,0.4194,0.2422,32.57,15,2,MEDIUM
PUENTE ARANDA,CANINO,9,2024,2,4,15,4,23,0.3548,0.266,39.67,12,8,MEDIUM
SANTA FE,CANINO,7,2024,2,7,15,2,22,0.3714,0.2153,47.07,11,5,MEDIUM
BOSA,CANINO,5,2023,2,13,12,4,28,0.2655,0.2547,48.06,8,4,MEDIUM
USAQUÉN,CANINO,5,2022,4,2,4,0,7,0.736,0.4841,18.33,3,2,LOW
TEUSAQUILLO,FELINO,1,2022,2,12,9,2,19,0.5075,0.4967,32.98,4,3,MEDIUM
KENNEDY,CANINO,3,2022,1,14,22,6,19,0.1092,0.2689,48.02,13,9,HIGH
CIUDAD BOLÍVAR,CANINO,4,2023,2,9,19,6,32,0.118,0.1245,50.85,9,8,HIGH
ANTONIO NARIÑO,CANINO,6,2023,3,9,18,3,20,0.3482,0.3855,44.99,9,3,MEDIUM
TUNJUELITO,CANINO,7,2024,1,11,21,9,33,0.118,0.3045,57.18,11,7,HIGH
CIUDAD BOLÍVAR,CANINO,2,2024,2,13,18,5,17,0.1376,0.2051,47.09,11,11,HIGH
FONTIBÓN,CANINO,1,2024,3,14,12,2,17,0.3405,0.3259,42.08,5,7,MEDIUM
BARRIOS UNIDOS,CANINO,5,2022,3,4,8,3,14,0.6482,0.2836,21.95,3,5,LOW
CIUDAD BOLÍVAR,FELINO,4,2024,1,22,17,4,29,0.1732,0.1533,47.81,8,9,HIGH
USME,FELINO,11,2023,2,9,11,2,25,0.0928,0.139,45.05,10,9,HIGH
LOS MÁRTIRES,FELINO,3,2022,3,8,16,2,20,0.3405,0.2128,33.77,5,6,MEDIUM
LOS MÁRTIRES,CANINO,12,2022,2,9,12,1,25,0.1251,0.2482,56.48,14,5,HIGH
CIUDAD BOLÍVAR,CANINO,8,2024,2,12,17,6,23,0.0441,0.1138,55.61,15,5,HIGH
FONTIBÓN,CANINO,3,2024,3,3,10,1,18,0.4254,0.3756,34.06,6,5,MEDIUM
ANTONIO NARIÑO,CANINO,5,2024,3,5,11,4,19,0.4153,0.299,32.94,10,3,MEDIUM
FONTIBÓN,CANINO,6,2024,2,4,14,2,18,0.4736,0.2565,35.91,6,7,MEDIUM
TUNJUELITO,CANINO,1,2024,1,11,26,3,24,0.1184,0.2923,48.71,10,5,HIGH
USME,CANINO,8,2023,1,7,24,9,34,0.1653,0.161,50.04,9,6,HIGH
LOS MÁRTIRES,FELINO,8,2022,2,8,18,2,23,0.2923,0.2884,45.44,13,5,MEDIUM
TUNJUELITO,CANINO,10,2024,2,6,15,3,20,0.2902,0.3084,45.23,11,5,MEDIUM
BARRIOS UNIDOS,CANINO,5,2023,5,8,9,2,14,0.6536,0.3441,26.28,6,2,LOW
PUENTE ARANDA,FELINO,6,2024,2,6,18,1,24,0.3425,0.3476,36.73,8,3,MEDIUM
RAFAEL URIBE URIBE,CANINO,4,2023,1,11,17,4,19,0.2052,0.2654,48.24,12,3,MEDIUM
BARRIOS UNIDOS,CANINO,5,2023,4,3,8,1,17,0.5807,0.4425,22.8,8,9,LOW
RAFAEL URIBE URIBE,FELINO,3,2024,3,7,17,2,23,0.223,0.1926,48.02,22,6,HIGH
ANTONIO NARIÑO,FELINO,10,2023,4,7,11,3,12,0.4818,0.3111,38.29,7,3,MEDIUM
BOSA,CANINO,1,2023,1,14,25,4,28,0.0289,0.2969,61.37,20,6,HIGH
USME,CANINO,1,2022,1,6,16,6,20,0.0581,0.2154,53.42,18,7,HIGH
RAFAEL URIBE URIBE,CANINO,8,2023,2,8,22,4,27,0.2426,0.2157,42.67,12,6,HIGH
RAFAEL URIBE URIBE,FELINO,11,2023,2,9,16,3,20,0.226,0.2207,46.46,11,5,MEDIUM
LOS MÁRTIRES,FELINO,6,2023,2,12,19,5,27,0.2311,0.2751,48.81,7,5,MEDIUM
TUNJUELITO,CANINO,10,2024,3,12,14,4,20,0.371,0.2117,41.84,10,8,MEDIUM
USME,CANINO,7,2022,1,12,25,4,28,0.1233,0.2093,47.96,14,3,HIGH
BOSA,CANINO,10,2023,3,11,12,4,33,0.2631,0.2673,41.58,11,7,MEDIUM
SANTA FE,CANINO,4,2023,3,3,16,3,13,0.4886,0.3254,32.61,11,9,MEDIUM
USAQUÉN,CANINO,9,2024,5,5,8,3,9,0.7509,0.4428,19.37,4,5,LOW
SAN CRISTÓBAL,FELINO,9,2024,1,15,18,7,30,0.2734,0.1616,47.12,3,7,MEDIUM
CIUDAD BOLÍVAR,CANINO,7,2022,1,13,23,6,28,0.149,0.106,55.23,11,5,HIGH
KENNEDY,FELINO,9,2023,1,24,25,6,37,0.13,0.3165,57.2,16,6,HIGH
FONTIBÓN,CANINO,10,2024,4,5,7,1,20,0.4916,0.3765,23.34,12,4,MEDIUM
SAN CRISTÓBAL,FELINO,2,2023,1,11,15,0,34,0.188,0.3794,42.22,6,7,HIGH
CHAPINERO,CANINO,6,2024,2,7,13,3,7,0.6785,0.5315,23.82,4,2,LOW
KENNEDY,CANINO,10,2023,1,17,24,5,23,0.1895,0.2062,56.14,9,6,HIGH
RAFAEL URIBE URIBE,CANINO,10,2024,2,15,17,7,11,0.2763,0.2628,34.65,14,3,MEDIUM
SANTA FE,CANINO,3,2024,3,3,14,2,24,0.571,0.299,28.26,8,3,MEDIUM
LA CANDELARIA,CANINO,4,2024,4,2,4,0,9,0.6397,0.3627,15.69,5,1,LOW
BOSA,CANINO,12,2023,1,12,24,7,30,0.0992,0.2745,65.47,10,4,HIGH
SAN CRISTÓBAL,CANINO,12,2024,1,10,30,13,26,0.1164,0.2395,62.7,14,9,HIGH
SANTA FE,FELINO,8,2024,4,8,19,4,16,0.3759,0.2117,40.08,10,9,MEDIUM
ANTONIO NARIÑO,CANINO,4,2023,3,10,13,2,17,0.3852,0.3023,35.34,12,4,MEDIUM
LOS MÁRTIRES,FELINO,5,2024,3,2,13,2,24,0.3745,0.2147,40.92,5,4,MEDIUM
ANTONIO NARIÑO,CANINO,7,2022,2,10,11,6,24,0.2594,0.216,32.72,5,5,MEDIUM
KENNEDY,CANINO,1,2024,2,22,17,7,34,0.0667,0.2492,63.33,9,5,HIGH
KENNEDY,FELINO,2,2022,2,19,18,9,18,0.139,0.2272,56.64,11,4,HIGH
SANTA FE,FELINO,11,2023,4,5,14,2,10,0.4549,0.3694,27.91,9,8,MEDIUM
TEUSAQUILLO,CANINO,10,2023,4,3,8,4,12,0.6409,0.4159,19.25,5,3,LOW
LOS MÁRTIRES,FELINO,8,2024,3,10,15,4,25,0.3137,0.3038,41.95,7,1,MEDIUM
SAN CRISTÓBAL,CANINO,7,2024,2,12,20,8,31,0.1802,0.18,57.21,20,9,HIGH
SAN CRISTÓBAL,CANINO,7,2024,3,6,34,10,33,0.1024,0.1378,51.69,12,10,HIGH
KENNEDY,CANINO,10,2022,1,14,21,8,35,0.1327,0.3102,52.05,5,6,HIGH
USME,CANINO,10,2022,2,9,11,0,20,0.2325,0.0984,45.78,6,7,MEDIUM
TUNJUELITO,CANINO,10,2024,2,14,13,4,23,0.3535,0.2664,36.96,10,6,MEDIUM
CIUDAD BOLÍVAR,CANINO,2,2024,1,15,19,4,42,0.1409,0.2355,54.15,11,7,HIGH
CIUDAD BOLÍVAR,FELINO,8,2023,2,12,7,1,27,0.1578,0.1965,56.26,15,4,HIGH
SUBA,CANINO,10,2024,4,6,10,4,12,0.7187,0.4924,23.33,3,3,LOW
ANTONIO NARIÑO,CANINO,6,2024,4,8,19,4,24,0.3319,0.2985,35.83,7,8,MEDIUM
RAFAEL URIBE URIBE,FELINO,2,2024,2,9,15,3,25,0.1218,0.2347,55.32,10,6,HIGH
BARRIOS UNIDOS,CANINO,6,2023,4,2,9,4,9,0.5048,0.3928,27.62,12,2,MEDIUM
BOSA,CANINO,4,2022,1,11,20,8,31,0.2322,0.2396,46.22,12,6,HIGH
RAFAEL URIBE URIBE,CANINO,2,2022,1,13,16,5,30,0.1621,0.2129,53.21,10,7,HIGH
PUENTE ARANDA,CANINO,4,2023,3,5,15,3,32,0.3483,0.3671,34.51,7,5,MEDIUM
USME,CANINO,10,2023,4,10,5,0,22,0.358,0.1023,42.5,8,6,MEDIUM
CIUDAD BOLÍVAR,FELINO,3,2023,4,10,15,3,23,0.1799,0.139,53.0,10,1,HIGH
FONTIBÓN,CANINO,7,2023,2,6,14,5,18,0.3224,0.3086,40.16,10,6,MEDIUM
SAN CRISTÓBAL,CANINO,6,2022,2,15,15,3,24,0.2403,0.2477,49.45,12,4,HIGH
BOSA,CANINO,10,2024,3,9,15,3,22,0.2636,0.1416,44.39,9,7,MEDIUM
SAN CRISTÓBAL,FELINO,10,2024,3,13,14,4,21,0.2516,0.1866,43.7,12,5,MEDIUM
SANTA FE,CANINO,6,2023,3,7,24,9,22,0.325,0.2976,35.41,8,5,MEDIUM
PUENTE ARANDA,FELINO,7,2022,2,4,16,7,25,0.3259,0.3542,42.28,11,6,MEDIUM
BOSA,CANINO,3,2024,1,12,16,4,28,0.2211,0.2749,56.78,14,9,HIGH
CIUDAD BOLÍVAR,FELINO,8,2022,2,10,20,3,18,0.0816,0.2326,59.74,17,11,HIGH
LOS MÁRTIRES,CANINO,11,2024,2,5,16,4,23,0.356,0.1786,38.71,7,7,MEDIUM
USME,CANINO,2,2023,3,11,13,2,17,0.1253,0.211,49.07,15,6,HIGH
BOSA,CANINO,10,2023,3,14,12,4,33,0.2269,0.205,47.04,9,6,MEDIUM
SAN CRISTÓBAL,FELINO,6,2022,2,15,16,4,34,0.2133,0.1899,41.71,10,12,HIGH
FONTIBÓN,CANINO,11,2023,3,7,5,0,13,0.454,0.3466,30.91,7,2,MEDIUM
CHAPINERO,CANINO,8,2023,4,1,7,1,4,0.6914,0.4809,12.89,2,4,LOW
CIUDAD BOLÍVAR,CANINO,2,2024,2,17,19,3,26,0.147,0.1562,50.13,12,10,HIGH
RAFAEL URIBE URIBE,CANINO,6,2023,3,9,11,5,23,0.3263,0.0918,42.62,11,5,MEDIUM
LOS MÁRTIRES,FELINO,6,2023,2,7,14,4,16,0.3375,0.2535,37.81,5,5,MEDIUM
ANTONIO NARIÑO,FELINO,2,2024,3,9,10,1,16,0.4175,0.254,30.86,11,4,MEDIUM
SAN CRISTÓBAL,CANINO,9,2022,1,16,22,4,23,0.3497,0.2114,49.33,14,6,MEDIUM
FONTIBÓN,CANINO,3,2023,4,8,9,1,14,0.4641,0.3416,37.03,9,7,MEDIUM
TEUSAQUILLO,CANINO,3,2024,4,3,12,0,13,0.6481,0.4989,23.76,7,6,LOW
KENNEDY,FELINO,6,2023,1,11,22,4,25,0.0508,0.2698,52.37,13,3,HIGH
TEUSAQUILLO,FELINO,4,2023,4,1,7,1,9,0.6785,0.4725,21.89,5,3,LOW
SAN CRISTÓBAL,FELINO,5,2024,2,15,18,5,22,0.2852,0.2501,41.5,15,5,MEDIUM
CIUDAD BOLÍVAR,CANINO,6,2023,1,20,17,7,36,0.1475,0.158,50.85,10,5,HIGH
LOS MÁRTIRES,CANINO,5,2022,3,12,12,2,21,0.4072,0.271,43.62,11,11,MEDIUM
SANTA FE,CANINO,11,2022,3,6,11,2,15,0.3597,0.3567,32.58,9,3,MEDIUM
RAFAEL URIBE URIBE,CANINO,8,2022,2,12,11,5,21,0.2008,0.2734,47.81,8,9,MEDIUM
CIUDAD BOLÍVAR,CANINO,3,2022,1,9,19,6,32,0.2321,0.2148,45.67,9,10,HIGH
ANTONIO NARIÑO,CANINO,7,2023,1,7,17,4,28,0.2131,0.2658,38.08,9,9,HIGH
SUBA,FELINO,6,2022,4,6,8,2,12,0.5815,0.431,32.53,6,5,LOW
SUBA,FELINO,2,2024,5,5,7,2,17,0.5795,0.2939,32.2,10,3,MEDIUM
TUNJUELITO,CANINO,10,2024,2,12,10,2,23,0.3055,0.3291,38.55,11,10,MEDIUM
BOSA,CANINO,2,2022,1,13,20,5,36,0.1445,0.1886,55.14,7,10,HIGH
SUBA,CANINO,8,2023,3,5,11,5,12,0.5044,0.3518,26.11,6,5,MEDIUM
RAFAEL URIBE URIBE,CANINO,6,2023,1,10,17,3,39,0.1586,0.2805,47.08,11,4,HIGH
KENNEDY,CANINO,3,2023,2,16,21,5,27,0.217,0.3324,46.76,12,9,HIGH
KENNEDY,CANINO,4,2024,1,12,19,5,34,0.2088,0.2455,52.49,12,6,HIGH
SANTA FE,CANINO,12,2024,2,14,19,3,13,0.2253,0.2338,50.96,16,10,HIGH
RAFAEL URIBE URIBE,FELINO,5,2023,3,13,11,4,20,0.3136,0.1036,43.47,12,5,MEDIUM
ANTONIO NARIÑO,CANINO,2,2023,3,8,14,6,34,0.3484,0.2954,40.87,9,4,MEDIUM
TUNJUELITO,CANINO,12,2024,2,17,22,7,19,0.1277,0.2068,57.24,18,4,HIGH
LOS MÁRTIRES,FELINO,4,2022,3,6,10,3,15,0.3849,0.3177,36.72,5,6,MEDIUM
LA CANDELARIA,FELINO,5,2024,5,2,8,3,12,0.6244,0.3765,18.74,3,5,LOW
FONTIBÓN,CANINO,9,2023,3,5,12,2,22,0.4604,0.4092,36.6,10,4,MEDIUM
LA CANDELARIA,CANINO,10,2023,5,2,6,1,7,0.6558,0.4472,18.87,4,8,LOW
SANTA FE,CANINO,12,2022,2,11,19,1,18,0.2927,0.2967,44.51,14,9,MEDIUM
BOSA,CANINO,6,2022,2,10,17,4,30,0.197,0.2778,55.78,8,10,HIGH
USME,CANINO,1,2022,1,24,17,6,27,0.0459,0.1295,50.7,10,9,HIGH
SUBA,CANINO,1,2022,3,5,19,4,13,0.471,0.3879,32.82,10,8,MEDIUM
BOSA,FELINO,3,2024,1,10,17,3,18,0.1868,0.19,48.79,12,1,HIGH
SAN CRISTÓBAL,CANINO,10,2022,3,13,18,5,22,0.3324,0.1924,41.77,8,5,MEDIUM
USAQUÉN,CANINO,2,2023,4,7,6,1,8,0.7108,0.4769,24.89,3,2,LOW
LA CANDELARIA,FELINO,3,2024,4,6,2,0,13,0.5755,0.4084,23.04,8,5,LOW
ENGATIVÁ,CANINO,6,2022,3,9,14,1,13,0.4623,0.4352,34.92,7,8,MEDIUM
KENNEDY,CANINO,2,2022,2,18,16,10,31,0.0946,0.2204,55.55,18,4,HIGH
PUENTE ARANDA,CANINO,5,2024,3,7,19,6,19,0.4089,0.352,34.55,4,4,MEDIUM
TUNJUELITO,CANINO,6,2024,2,8,13,4,30,0.3084,0.2104,43.58,11,3,MEDIUM
TUNJUELITO,CANINO,8,2024,2,15,18,6,21,0.2674,0.1997,49.12,7,9,MEDIUM
TUNJUELITO,FELINO,2,2023,2,5,14,4,21,0.2988,0.1435,44.37,18,3,MEDIUM
LOS MÁRTIRES,CANINO,12,2023,1,12,14,2,25,0.2293,0.2757,42.55,11,10,MEDIUM
LOS MÁRTIRES,CANINO,4,2022,1,7,15,5,19,0.302,0.296,43.09,11,5,MEDIUM
PUENTE ARANDA,CANINO,3,2022,3,6,11,3,25,0.2974,0.4274,43.39,11,4,MEDIUM
SAN CRISTÓBAL,CANINO,7,2023,4,10,15,4,20,0.102,0.2073,54.79,19,8,HIGH
KENNEDY,FELINO,5,2024,2,21,14,2,29,0.2191,0.1673,54.71,8,11,HIGH
BOSA,CANINO,3,2024,1,13,16,7,34,0.1824,0.1666,50.11,10,13,HIGH
BOSA,FELINO,1,2023,1,17,19,5,41,0.084,0.2238,61.38,17,8,HIGH
USME,CANINO,9,2023,2,9,9,3,23,0.2932,0.0814,35.57,6,13,MEDIUM
TUNJUELITO,FELINO,9,2023,2,9,19,5,21,0.3192,0.1863,48.58,11,5,MEDIUM
LA CANDELARIA,CANINO,11,2022,4,3,14,5,13,0.6353,0.428,28.35,5,5,LOW
BOSA,CANINO,2,2023,3,15,23,7,36,0.1475,0.3095,56.62,8,3,HIGH
LA CANDELARIA,CANINO,8,2023,5,5,4,1,9,0.631,0.504,21.1,10,3,LOW
CIUDAD BOLÍVAR,CANINO,1,2024,1,8,20,10,24,0.0244,0.2041,55.63,16,10,HIGH
KENNEDY,FELINO,1,2024,2,19,27,5,27,0.0492,0.2242,58.45,12,9,HIGH
ANTONIO NARIÑO,CANINO,9,2023,3,12,8,1,24,0.3345,0.3009,34.96,10,8,MEDIUM
BOSA,CANINO,9,2023,3,14,14,4,32,0.1359,0.2153,44.72,15,9,HIGH
ENGATIVÁ,CANINO,6,2024,4,5,10,4,14,0.4659,0.2979,33.55,8,3,MEDIUM
USME,CANINO,10,2022,2,9,16,3,29,0.252,0.1898,45.75,10,7,MEDIUM
USME,FELINO,5,2023,4,16,19,5,31,0.2293,0.1474,46.15,10,6,MEDIUM
KENNEDY,FELINO,2,2024,1,7,22,6,25,0.15,0.2734,55.62,13,11,HIGH
LOS MÁRTIRES,CANINO,11,2024,3,11,15,6,24,0.3434,0.2951,38.13,10,8,MEDIUM
ANTONIO NARIÑO,CANINO,2,2022,2,6,14,1,18,0.2871,0.3151,40.2,10,5,MEDIUM
FONTIBÓN,CANINO,9,2022,3,7,16,7,12,0.5341,0.342,31.01,12,5,MEDIUM
BARRIOS UNIDOS,CANINO,11,2023,3,4,10,3,15,0.5432,0.3991,28.92,5,1,MEDIUM
LOS MÁRTIRES,CANINO,5,2023,3,9,15,7,31,0.394,0.231,42.95,10,9,MEDIUM
USME,FELINO,9,2022,3,8,15,0,22,0.2738,0.1989,42.61,14,6,MEDIUM
TUNJUELITO,FELINO,12,2024,1,8,18,5,21,0.0976,0.2789,54.74,18,8,HIGH
PUENTE ARANDA,CANINO,7,2023,2,7,16,1,39,0.2824,0.3137,43.85,10,3,MEDIUM
USME,CANINO,6,2022,2,10,29,7,19,0.1502,0.1449,53.51,19,8,HIGH
RAFAEL URIBE URIBE,CANINO,1,2022,1,14,17,6,23,0.097,0.2538,55.35,11,9,HIGH
TUNJUELITO,FELINO,4,2023,1,9,16,5,27,0.2172,0.2947,36.42,9,7,MEDIUM
TUNJUELITO,CANINO,2,2023,2,10,18,3,32,0.2772,0.266,47.03,12,7,HIGH
BOSA,CANINO,4,2022,3,10,10,3,21,0.3378,0.3099,51.36,9,7,MEDIUM
BARRIOS UNIDOS,CANINO,11,2023,3,4,15,1,14,0.5035,0.344,33.68,11,8,MEDIUM
USME,FELINO,11,2023,3,10,18,4,27,0.1686,0.08,49.9,5,9,HIGH
CHAPINERO,CANINO,4,2024,5,2,5,0,5,0.7828,0.4462,16.92,2,2,LOW
USME,CANINO,10,2023,1,14,13,3,31,0.2323,0.1617,48.91,13,4,HIGH
LOS MÁRTIRES,CANINO,5,2022,2,10,11,3,23,0.3809,0.2052,36.66,8,5,MEDIUM
KENNEDY,FELINO,3,2023,2,20,25,7,31,0.1572,0.2839,52.6,14,8,HIGH
TEUSAQUILLO,CANINO,12,2024,3,6,13,3,19,0.4266,0.4388,37.67,9,5,MEDIUM
CHAPINERO,FELINO,4,2023,5,3,3,2,13,0.7827,0.5536,15.51,2,3,LOW
RAFAEL URIBE URIBE,CANINO,9,2022,2,12,23,7,24,0.3144,0.1562,42.21,9,2,MEDIUM
SANTA FE,CANINO,11,2024,3,6,10,1,19,0.5073,0.2691,29.76,6,7,MEDIUM
SUBA,CANINO,6,2023,4,9,9,2,8,0.5798,0.3985,26.09,5,2,LOW
BARRIOS UNIDOS,FELINO,1,2024,3,12,16,5,24,0.3258,0.3413,38.78,9,4,MEDIUM
RAFAEL URIBE URIBE,CANINO,10,2024,2,5,16,3,20,0.3335,0.2534,35.47,8,10,MEDIUM
ENGATIVÁ,CANINO,3,2023,3,8,7,1,19,0.4578,0.3913,35.5,8,4,MEDIUM
SUBA,CANINO,10,2023,4,2,5,1,14,0.66,0.3724,22.27,3,3,LOW
CIUDAD BOLÍVAR,CANINO,5,2023,1,7,18,5,37,0.2632,0.2606,37.68,10,5,MEDIUM
USME,CANINO,3,2022,1,8,22,9,19,0.2391,0.1949,43.5,12,11,MEDIUM
RAFAEL URIBE URIBE,CANINO,6,2022,3,10,17,2,31,0.1732,0.1768,44.31,11,9,HIGH
TUNJUELITO,FELINO,11,2024,1,21,19,5,26,0.1572,0.2403,46.28,10,4,HIGH
LA CANDELARIA,CANINO,6,2023,2,8,11,3,12,0.5849,0.3841,21.45,4,3,LOW
KENNEDY,CANINO,6,2023,1,11,18,7,27,0.1887,0.283,56.04,10,5,HIGH
USAQUÉN,CANINO,9,2023,4,4,6,1,9,0.6443,0.5008,26.1,3,3,LOW
TEUSAQUILLO,CANINO,5,2022,5,3,6,2,6,0.7369,0.4248,22.41,5,4,LOW
SANTA FE,CANINO,7,2023,2,8,17,7,32,0.373,0.3399,38.85,10,8,MEDIUM
SAN CRISTÓBAL,CANINO,2,2024,2,10,15,2,30,0.1327,0.2415,46.8,5,8,HIGH
SAN CRISTÓBAL,CANINO,9,2023,3,10,10,3,32,0.2723,0.2953,44.0,5,10,MEDIUM
KENNEDY,FELINO,5,2023,3,11,14,1,18,0.2566,0.2449,46.0,12,2,MEDIUM
RAFAEL URIBE URIBE,CANINO,1,2022,3,10,14,5,27,0.0633,0.254,54.16,17,5,HIGH
CIUDAD BOLÍVAR,CANINO,5,2023,2,14,10,0,24,0.1766,0.1563,52.04,13,8,MEDIUM
CIUDAD BOLÍVAR,CANINO,11,2024,2,7,22,7,26,0.1235,0.2382,49.0,13,6,HIGH
ANTONIO NARIÑO,FELINO,11,2022,3,6,14,5,15,0.3264,0.327,42.35,6,11,MEDIUM
SANTA FE,CANINO,5,2024,3,3,16,7,17,0.496,0.3086,19.69,4,6,MEDIUM
FONTIBÓN,CANINO,3,2023,1,9,7,1,18,0.4106,0.3651,35.43,11,1,MEDIUM
SUMAPAZ,CANINO,3,2023,3,2,4,1,11,0.6153,0.094,12.29,2,7,LOW
RAFAEL URIBE URIBE,CANINO,12,2024,1,22,14,4,42,0.1212,0.1597,60.37,11,5,HIGH
TUNJUELITO,CANINO,8,2024,3,4,16,2,23,0.2666,0.2012,43.94,17,8,MEDIUM
ANTONIO NARIÑO,CANINO,10,2024,3,6,11,1,14,0.4393,0.2238,33.68,9,6,MEDIUM
SAN CRISTÓBAL,FELINO,4,2024,1,13,27,4,27,0.1694,0.1611,45.41,15,6,HIGH
SUMAPAZ,CANINO,6,2024,4,3,7,1,16,0.6373,0.1115,10.41,6,10,LOW
BARRIOS UNIDOS,FELINO,4,2024,3,7,11,4,11,0.6695,0.2721,24.59,6,3,LOW
KENNEDY,CANINO,3,2024,1,15,9,1,29,0.2079,0.2362,51.45,13,3,HIGH
KENNEDY,CANINO,10,2022,1,20,17,4,29,0.2163,0.2983,54.1,14,7,HIGH
BARRIOS UNIDOS,CANINO,8,2024,2,5,14,2,15,0.4571,0.412,30.37,5,3,MEDIUM
USME,FELINO,12,2024,2,17,17,4,32,0.0578,0.2633,53.64,9,6,HIGH
BOSA,CANINO,4,2023,3,8,12,3,27,0.1569,0.0508,47.05,11,6,MEDIUM
BOSA,FELINO,12,2024,1,13,22,7,28,0.1088,0.169,61.25,11,8,HIGH
USME,CANINO,9,2022,2,13,9,2,26,0.1425,0.1557,43.38,12,9,MEDIUM
RAFAEL URIBE URIBE,CANINO,4,2023,2,6,20,6,24,0.2974,0.2579,41.25,12,3,MEDIUM
LA CANDELARIA,CANINO,12,2023,2,5,7,2,11,0.5213,0.4064,28.92,11,3,MEDIUM
SAN CRISTÓBAL,CANINO,10,2023,3,7,14,2,27,0.2564,0.2745,47.04,11,8,MEDIUM
TUNJUELITO,CANINO,12,2024,1,13,14,4,23,0.2116,0.2507,51.38,13,6,HIGH
TEUSAQUILLO,CANINO,7,2023,3,3,16,5,14,0.5137,0.3683,32.83,10,4,MEDIUM
